Extractor,Classifier,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
LBPH,SVM,0.5508333333333334,0.012660086009888636,0.5535225258823842,0.01816523001531291,0.547,0.06373033465748909,0.5475515422433259,0.02247596687337073,0.5728055555555556,0.013909236095682318
LBPH,RandomForest,0.549,0.005854722690083455,0.5479259254607117,0.005442778441424852,0.5599999999999999,0.014529663145135596,0.5538271441971532,0.008897960059622078,0.5666783333333333,0.005383635870411879
LBPH,KNN,0.5211666666666666,0.013505143053255265,0.5192262367056338,0.012195499494670407,0.5726666666666667,0.014476033833738964,0.5446088640451925,0.012657603821301804,0.5292563888888889,0.01136796331666913
HOG,SVM,0.7070000000000001,0.013245544324203678,0.7238622493689342,0.017379478503487797,0.6699999999999999,0.01763834207376396,0.6957156942516691,0.013612194761370846,0.7772922222222223,0.010685380487976969
HOG,RandomForest,0.6871666666666666,0.012786711852544416,0.7013269204584607,0.01709055299352149,0.6526666666666666,0.012319812408384204,0.6760200723357155,0.011922609979201063,0.7528763888888889,0.016419678986651684
HOG,KNN,0.5396666666666666,0.007702813338860912,0.521404329329638,0.00425331959959461,0.967,0.004642796092394695,0.6774980539978899,0.004613166854331388,0.7265855555555556,0.011179149069573784
HUM,SVM,0.5553333333333332,0.00840965054102858,0.5413125711288032,0.008264039466163518,0.7346666666666668,0.06438944012802099,0.621847065613229,0.020805127163623024,0.57463,0.010587846427640919
HUM,RandomForest,0.5515,0.01439907404430343,0.5462084463447721,0.0124288101731027,0.6066666666666667,0.02641548367487862,0.574744866968885,0.017996914593904904,0.5659388888888889,0.012703564436122486
HUM,KNN,0.5256666666666667,0.016777961735562525,0.5252518382484108,0.016337330742386424,0.5333333333333334,0.021213203435596427,0.5291956997732731,0.017952595632510802,0.5397547222222222,0.01588207523387819
